Designator,Mid X,Mid Y,Rotation,Layer
C1,145.415,-128.905,0.0,top
C2,151.13,-129.54,180.0,top
C3,146.05,-123.825,0.0,top
C4,146.05,-120.65,0.0,top
C5,146.05,-122.34,0.0,top
J1,156.845,-110.49,270.0,top
J2,149.845,-110.515,270.0,top
J3,156.845,-118.11,0.0,top
J4,145.415,-142.24,180.0,top
J5,149.2,-142.225,180.0,top
J6,153.035,-142.24,180.0,top
J7,156.87,-142.24,180.0,top
R1,154.305,-121.16,90.0,top
U1,146.05,-126.365,180.0,top
U2,151.384,-125.73,180.0,top
U3,145.288,-115.57,270.0,bottom
